day_unix,eth_usd_cents
1528156800,60823
1528243200,60630
1528329600,60444
1528416000,60067
1528502400,59486
1528588800,52474
1528675200,53115
1528761600,49453
1528848000,47630
1528934400,51983
1529020800,48751
1529107200,49722
1529193600,49693
1529280000,51763
1529366400,53845
1529452800,53616
1529539200,52576
1529625600,46216
1529712000,47418
1529798400,45525
1529884800,45882
1529971200,42958
1530057600,44175
1530144000,42072
1530230400,43525
1530316800,45342
1530403200,45109
1530489600,47658
1530576000,46195
1530662400,46719
1530748800,46755
1530835200,46993
1530921600,48581
1531008000,48619
1531094400,47148
1531180800,43269
1531267200,44559
1531353600,43112
1531440000,43297
1531526400,43442
1531612800,45034
1531699200,48020
1531785600,49983
1531872000,47985
1531958400,46891
1532044800,44913
1532131200,46113
1532217600,45798
1532304000,44973
1532390400,47839
1532476800,47199
1532563200,46298
1532649600,46994
1532736000,46875
1532822400,46630
1532908800,45622
1532995200,43171
1533081600,41987
1533168000,41136
1533254400,41776
1533340800,40732
1533427200,40937
1533513600,40570
1533600000,37832
1533686400,35557
1533772800,36433
1533859200,33228
1533945600,31862
1534032000,31855
1534118400,28403
1534204800,27831
1534291200,28124
1534377600,28680
1534464000,31757
1534550400,29485
1534636800,30053
1534723200,27161
1534809600,28178
1534896000,27037
1534982400,27666
1535068800,28204
1535155200,27822
1535241600,27481
1535328000,28790
1535414400,29621
1535500800,28920
1535587200,28457
1535673600,28206
1535760000,29577
1535846400,29512
1535932800,28942
1536019200,28573
1536105600,22827
1536192000,22952
1536278400,21569
1536364800,19723
1536451200,19599
1536537600,19720
1536624000,18515
1536710400,18303
1536796800,21127
1536883200,20887
1536969600,22163
1537056000,22012
1537142400,19604
1537228800,20839
1537315200,20978
1537401600,22476
1537488000,24769
1537574400,24079
1537660800,24451
1537747200,22805
1537833600,21920
1537920000,21421
1538006400,22909
1538092800,22156
1538179200,23132
1538265600,23282
1538352000,23096
1538438400,22559
1538524800,22002
1538611200,22220
1538697600,22817
1538784000,22505
1538870400,22602
1538956800,22923
1539043200,22767
1539129600,22520
1539216000,18983
1539302400,19571
1539388800,19930
1539475200,19492
1539561600,21080
1539648000,20967
1539734400,20775
1539820800,20225
1539907200,20301
1539993600,20497
1540080000,20500
1540166400,20364
1540252800,20329
1540339200,20258
1540425600,20170
1540512000,20243
1540598400,20329
1540684800,20454
1540771200,19592
1540857600,19665
1540944000,19802
1541030400,19897
1541116800,20111
1541203200,19990
1541289600,21154
1541376000,20955
1541462400,21934
1541548800,21744
1541635200,21169
1541721600,20952
1541808000,21204
1541894400,21166
1541980800,21031
1542067200,20590
1542153600,18272
1542240000,18153
1542326400,17496
1542412800,17447
1542499200,17739
1542585600,14822
1542672000,13074
1542758400,13650
1542844800,12508
1542931200,12337
1543017600,11266
1543104000,11675
1543190400,10887
1543276800,10987
1543363200,12288
1543449600,11776
1543536000,11291
1543622400,11824
1543708800,11624
1543795200,10832
1543881600,10977
1543968000,10185
1544054400,9043
1544140800,9361
1544227200,9168
1544313600,9449
1544400000,9077
1544486400,8832
1544572800,9038
1544659200,8640
1544745600,8412
1544832000,8430
1544918400,8539
1545004800,9506
1545091200,10193
1545177600,10063
1545264000,11643
1545350400,10940
1545436800,11772
1545523200,13145
1545609600,14087
1545696000,13099
1545782400,13171
1545868800,11672
1545955200,13973
1546041600,13704
1546128000,14104
1546214400,13314
1546300800,14190
1546387200,15610
1546473600,14910
1546560000,15604
1546646400,15622
1546732800,15829
1546819200,15225
1546905600,15068
1546992000,15121
1547078400,12796
1547164800,12699
1547251200,12605
1547337600,11666
1547424000,12971
1547510400,12138
1547596800,12331
1547683200,12405
1547769600,12079
1547856000,12480
1547942400,11848
1548028800,11712
1548115200,11883
1548201600,11709
1548288000,11728
1548374400,11573
1548460800,11638
1548547200,11259
1548633600,10602
1548720000,10474
1548806400,10852
1548892800,10646
1548979200,10672
1549065600,11056
1549152000,10704
1549238400,10661
1549324800,10657
1549411200,10426
1549497600,10369
1549584000,11924
1549670400,11884
1549756800,12522
1549843200,12026
1549929600,12187
1550016000,12173
1550102400,12044
1550188800,12071
1550275200,12262
1550361600,13399
1550448000,14629
1550534400,14406
1550620800,14887
1550707200,14555
1550793600,14819
1550880000,15899
1550966400,13321
1551052800,13852
1551139200,13668
1551225600,13545
1551312000,13569
1551398400,13556
1551484800,13323
1551571200,13072
1551657600,12619
1551744000,13726
1551830400,13783
1551916800,13709
1552003200,13372
1552089600,13746
1552176000,13589
1552262400,13275
1552348800,13369
1552435200,13214
1552521600,13228
1552608000,13666
1552694400,14171
1552780800,13921
1552867200,13766
1552953600,13883
1553040000,13951
1553126400,13534
1553212800,13647
1553299200,13725
1553385600,13620
1553472000,13355
1553558400,13400
1553644800,13971
1553731200,13817
1553817600,14349
1553904000,14257
1553990400,14181
1554076800,14152
1554163200,16502
1554249600,16119
1554336000,15777
1554422400,16631
1554508800,16598
1554595200,17523
1554681600,18074
1554768000,17627
1554854400,17743
1554940800,16514
1555027200,16434
1555113600,16411
1555200000,16819
1555286400,16029
